Price,Address,Bedrooms,Baths,Area
295000,"4 Bluebell Road, Bluebell, Bluebell, Dublin 12",3,1,109
375000,"15 Gordon Street, Ringsend, Dublin 4",2,1,52
475000,"2 Station Road, Hansfield, Clonsilla, Dublin 15",4,3,153
289000,"6 Cherrywood Crescent, Clondalkin, Dublin 22",3,1,
330000,"17 Reilly's Avenue, Cork Street, South Circular Road, Dublin 8",3,2,72
725000,"8 Belarmine Woods, Stepaside, Dublin 18",4,3,168
250000,"1 Berry's Close, Spa Road, Inchicore, Dublin 8",2,1,55
340000,"166 McKee Avenue, Finglas, Finglas, Dublin 11",3,1,97
545000,"129/130 Lower Georges Street, Dun Laoghaire, Co. Dublin",3,,
220000,"Apartment 13 Horan Hall, Belgard Square, Tallaght, Dublin 24",2,2,
275000,"201 Ballyfermot Road, Ballyfermot, Ballyfermot, Dublin 10",2,2,87
1700000,"16 Thormanby Hill, Howth, Dublin 13",5,5,312
295000,"11 Cormac Terrace, Terenure, Terenure, Dublin 6",2,1,42
750000,"Kilcommon, 187 Cabra Road, Dublin 7",4,3,150
675000,"145 Whitehall Road, Terenure, Dublin 6",2,1,105
900000,"10 Ard Na Gréine, Eaton Brae, Off Orwell Road, Rathgar, Dublin 6",2,3,
750000,"7 Woodley Park, Kilmacud, Co. Dublin",3,2,150
395000,"2 Holywell Crescent, Donaghmede, Dublin 13",3,2,143
325000,"41 Emerald Square, Cork Street, Dublin 8",2,1,
225000,"Apartment 92, Annia Livia, Viking Harbour Apartments, Dublin 8",1,1,33
300000,"51 Ashbrook, Ashtown, Dublin 15",2,1,52
220000,"Apartment 20 Portside, West Road, Dublin 3",2,1,
250000,"17 Mount Eustace Drive, Tyrellstown, Tyrrelstown, Dublin 15",2,2,
525000,"193 Apples Road, Wedgewood, Sandyford, Dublin 18",3,1,80
515000,"13 Eden Terrace, Glasthule, Co. Dublin",2,1,63
290000,"6 Richmond Cottages, North Circular Road, Dublin 1",3,1,112
